3.1.1,本章可适用于民用建筑中35kV及以下供配电系统的设计,可适用于,民用建筑中供配电系统的设计,,
3.1.1,变电所设计和电气设备的安装,应采取抗震措施,并应符合现行国家标准《电力设施抗震设计规范》GB50260的规定,,
3.1.1,本章可适用于民用建筑中,35kV及以下,供配电系统的设计,,
3.1.2,供配电系统的设计,应根据,民用建筑工程的负荷性质、用电容量、工程特点、系统规模和发展规划以及当地供电条件,,
3.1.2,供配电系统的设计,合理确定,设计方案,,
3.1.3,供配电系统的设计,应简单可靠,减少电能损耗,,
3.2.1,用电负荷,应根据,对供电可靠性的要求及中断供电所造成的损失或影响程度确定,,
3.2.1,用电负荷,应定为一级负荷,中断供电将造成人身伤害,,
3.2.1,用电负荷,应定为一级负荷,中断供电将造成重大损失或重大影响,,
3.2.2,电气设备的安装,应采取,抗震措施,,
3.2.2,电气设备的安装,应符合,国家标准《电力设施抗震设计规范》GB50260的规定,,
3.2.2,民用建筑中各类建筑物或场所的主要用电负荷级别,可按本标准附录A选定,,,
3.2.3,150m及以上的超高层公共建筑的消防负荷,应为一级负荷中的特别重要负荷,,,
3.2.4,当主体建筑中有一级负荷中的特别重要负荷时,确保其正常运行的空调设备,宜为一级负荷,,
3.2.4,当主体建筑中有大量一级负荷时,确保其正常运行的空调设备,宜为二级负荷,,
3.2.5,变电所设计和电气设备的安装,并应,符合现行国家标准《电力设施抗震设计规范》GB50260的规定,,
3.2.5,重要电信机房的交流电源,其负荷级别应,不低于该建筑中最高等级的用电负荷,,
3.2.6,住宅小区的给水泵房、供暖锅炉房及换热站的用电负荷,不应低于,二级,,
3.2.7,大中型商场、超市营业厅、大开间办公室、交通候机/候车大厅及地下停车库等大面积场所的二级照明用电,应采用,双重电源的两个低压回路交叉供电,,
3.2.8,双重电源供电,一个电源发生故障时,另一个电源不应同时受到损坏,,
3.2.10,一级负荷应由双重电源的两个低压回路在末端配电箱处切换供电,另有规定者除外,,,
3.2.11,电力设施抗震设计规范,GB50260,规定,,
3.2.12,三级负荷,可采用,单电源单回路供电,,
3.2.13,互为备用工作制的生活水泵、排污泵,可由配对使用的两台变压器低压侧各引一路电源,分别为工作泵和备用泵供电,,
3.2.14,对于不允许电源瞬时中断的负荷,应设置,UPS不间断电源装置供电,,
3.3.1,当供电电压,为35kV且负荷集中、配电线路电压损失符合要求、无其他高压用电设备、经济性合理时,可直接降至低压配电电压,,
3.3.2,双重电源供配电系统中,其中一个回路中断供电时,其余线路应能满足全部一级负荷及二级负荷的供电要求,,
3.3.3,自备电源,电力系统取得第二电源更经济合理,或第二电源不能满足一级负荷要求,,
3.3.3,自备电源,双重电源中的一路为冷备用,且不能满足消防电源允许中断供电时间的要求,,
3.3.4,应急电源与正常电源之间,应采取,防止并列运行的措施,,
3.3.5,需要双重电源供电的用电单位,宜采用,同级电压供电,,
3.3.6,采用35kV、20kV或10kV双重电源供电的民用建筑,其高压侧宜由单母线分段组成供配电系统,两段母线间宜设联络开关,,
3.3.8,公共建筑内的35kV、20kV或10kV供电系统,宜采用,放射式,,
3.3.9,电源,可作为应急电源或备用电源,1供电网络中独立于正常电源的专用馈电线路,,
3.3.9,电源,可作为应急电源或备用电源,2独立于正常电源的发电机组,,
3.3.9,电源,可作为应急电源或备用电源,3蓄电池组,,
3.3.10,电力设施抗震设计规范,GB50260,规定,,
3.3.10,应急电源,应根据,允许中断供电的时间选择,,
3.3.10,应急电源,应符合,下列规定,,
3.3.10,允许中断供电的时间,可选用,快速自动启动的应急发电机组,,
3.3.10,允许中断供电的时间,自动投入装置的动作时间能满足,可选用独立于正常电源之外的专用馈电线路,,
3.3.11,住宅小区的供配电系统,宜采用,环网方式,,
3.3.11,高层住宅,宜在首层或地下一层设置,20kV(10kV)/0.4kV户内变电所或室外预装式变电站,,
3.3.11,多层住宅小区、别墅群,宜分区设置,20kV(10kV)/0.4kV独立变电所或室外预装式变电站,,
3.3.13,大型城市综合体建筑的供配电系统,宜按照,不同业态设置相对独立的供配电系统。,,
3.3.14,居住建筑住户内的用电设备,商业网点、配套设施及公共场所的用电设备,应分别设置电能计量,,
3.4.1,电设备的安装容量,在250kW及以上或变压器安装容量,在160kVA及以上时,,
3.4.1,电设备总容量,在250kW以下或变压器安装容量,在160kVA以下时,,
3.4.2,变电所设计和电气设备的安装,并应符合,现行国家标准《电力设施抗震设计规范》GB50260的规定,,
3.4.2,柴油发电机组,宜采用,10kV及以上电压等级,,
3.4.7,配电系统中的谐波电压,和在公共连接点注入的谐波电流,允许限值,,
3.4.7,配电系统中的谐波电压,宜符合,现行国家标准《电能质量公用电网谐波》GB/T14549的规定,,
3.4.9,容量较大、较稳定运行的非线性用电设备、频谱特征较为单一时,宜采用,并联无源滤波器,,
3.4.10,变电所设计和电气设备的安装,应采取,抗震措施,,
3.4.10,变电所设计和电气设备的安装,应符合,现行国家标准《电力设施抗震设计规范》GB50260的规定,,
3.4.11,低压用电设备,宜采用,单独的配电回路供电,,
3.5.2,变电所设计和电气设备的安装,应符合,现行国家标准《电力设施抗震设计规范》GB50260的规定,,
3.5.4,建筑物消防用电设备的计算负荷,应按共用的消防用电设备、发生火灾的防火分区内的消防用电设备及所有与其关联的防火分区消防用电设备的计算负荷之和确定,,,
3.6.2,变电所,应设置,无功补偿,,
3.6.3,容量较大、负荷平稳且经常使用的用电设备的无功功率,宜单独就地,补偿。,,
3.6.4,变电所计量点的功率因数,不宜低于,0.9,,
4.1.1,变电所设计,可适用于交流电压为35kV及以下,设计,,
4.1.2,变电所设计,应根据,工程特点、负荷性质、用电容量、供电条件、节约电能、安装、运行维护要求等因素,,
4.1.2,变电所设计,应考虑,发展的可能性,,
4.1.3,变电所设计,和电气设备的安装,应采取抗震措施,,
4.1.3,变电所设计,和电气设备的安装,应符合现行国家标准《电力设施抗震设计规范》GB50260的规定,,
4.2.1,变电所位置选择,应符合,下列要求：1深入或靠近负荷中心；2进出线方便；3设备吊装、运输方便；4不应设在对防电磁辐射干扰有较高要求的场所；5不宜设在多尘、水雾或有腐蚀性气体的场所，当无法远离时，不应设在污染源的下风侧；6不应设在厕所、浴室、厨房或其他经常有水并可能漏水场所的正下方,,
4.2.3,变电所设计和电气设备的安装,应符合,现行国家标准《电力设施抗震设计规范》GB50260的规定,,
4.2.3,变电所设计,应采取,抗震措施,,
4.2.3,变电所设计,应符合,国家标准《电力设施抗震设计规范》GB50260的规定,,
4.2.3,变电所设计,应符合,现行国家标准《电力设施抗震设计规范》GB50260的规定,,
4.3.1,电气设备的安装,应采取,抗震措施,,
4.3.1,电气设备的安装,应符合,国家标准《电力设施抗震设计规范》GB50260的规定,,
4.3.1,配电变压器,选择应根据,建筑物的性质、负荷情况和环境条件确定,,
4.3.1,配电变压器,选择应,根据建筑物的性质、负荷情况和环境条件确定,,
4.3.1,配电变压器,应选用,低损耗、低噪声的,,
4.3.2,配电变压器的长期工作负载率,不宜大于,85%,,
4.3.2,当有一级和二级负荷时,宜装设,两台及以上变压器,,
4.3.2,当一台变压器停运时,其余变压器容量应满足一级和二级负荷用电要求,。,,
4.3.3,电力和照明采用共用变压器,将严重影响照明质量及光源寿命时,照明可设专用变压器,,
4.3.3,单相负荷容量较大,由于不平衡负荷引起中性导体电流超过YynO结线组别变压器低压绕组额定电流的25%,可设置单相变压器,,
4.3.4,配电变压器,宜选用,Dynl1结线组别的变压器,,
4.3.5,变压器,应选择,干式变压器、气体绝缘变压器或非可燃性液体绝缘变压器,,
4.3.6,变电所,当单台变压器油量为100kg及以上时,应有储油或挡油、排油等防火措施,,
4.3.7,单台变压器容量,不宜大于,2000kVA,,
4.3.7,单台变压器仅一台时容量,不宜大于,1250kVA,,
4.3.7,预装式变电站变压器容量,不宜大于,800kVA,,
4.4.1,变电所电压,为35kV、20kV或10kV及0.4kV侧的母线,宜采用单母线或单母线分段接线形式,,
4.4.4,电压为35kV、20kV或10kV固定式配电装置时,应在电源侧装设,隔离开关,,
4.4.4,架空出线回路或有反馈电可能的电缆出线回路中,尚应在出线侧装设,隔离开关,,
4.4.5,电压为35kV、20kV或10kV的配出回路开关的出线侧,应装设,与该回路开关有机械联锁的接地开关电器和带电指示灯或电压监视器,,
4.4.6,两个变电所之间的电气联络线路,应在两侧均装设断路器,当低压系统采用固定式配电装置,,
4.4.8,主开关,应选用,适合35kV、20kV或10kV并联电力电容器组操作的断路器,,
4.4.8,主开关,有自动投切功能时应采用,35kV、20kV或10kV高压真空接触器进行投切控制,,
