,flag,node
0,文件信息,"UDC中华人民共和国国家标准国国GB50054-2011低压配电设计规范Codefordesignoflowvoltageelectricalinstallations2011-07-26发布2012-06-01实施中华人民共和国住房和城乡建设部中华人民共和国国家质量监督检验检疫总局中华人民共和国国家标准低压配电设计规范CodefordesignoflowvoltageelectricalinstallationsGB50054-2011主编部门：中国机械工业联合会批准部门：中华人民共和国住房和城乡建设部施行日期：2012年6月1日中国计划出版社2012北京中华人民共和国住房和城乡建设部公告第1100号关于发布国家标准《低压配电设计规范》的公告现批准《低压配电设计规范》为国家标准，编号为GB50054-2011,自2012年6月1日起实施。其中，第3.1.4、3.1.7、1.10,"
1,3.1.12,.采用剩余电流动作保护电器作为间接接触防护电器的回路时，必须装设保护导体。在没有保护导体的回路中，剩余电流动作保护电器是不能正确动作的，因此必须装设保护导体。本条为强制性条文，必须严格执行。
2,3.2.13,"3.2.6,装置外可导电部分严禁作为保护接地中性导体的一部分。装置外可导电部分在电气连接的可靠性方面没有保证，因此严禁作为保护接地中性导体的一部分。本条是强制性条文，必须严格执行。"
3,7.4.1,"条为强制性条文，必须严格执行。原《低压配电设计规范?GB50054-95同时废止。本规范由我部标准定额研究所组织中国计划出版社出版发行。中华人民共和国住房和城乡建设部-o一一年七月二十六日本规范是根据原建设部《关于印发＜-OO一^二OO二年度工程建设国家标准制订、修订计划〉的通知》（建标〔2002J85号）的要求，由中机中电设计研究院有限公司会同有关单位在原《低压配电设计规范》GB50054—95的基础上修订而成的。本规范在编制过程中，编制组经广泛调査研究，认真总结实践经验,参考有关国际标准和国外先进标准，并在广泛征求意见的基础上，最后经审査定稿。本规范共分7章和1个附录，主要技术内容包括：总则、术语、电器和导体的选择、配电设备的布置、电气装置的电击防护、配电线路的保护、配电线路的敷设等。修订的主要技术内容有：将规范适用范围的电压由交流、工频500V以下修改为交流、工频1000V及以下；取消了原规范总则中对于选用铜、铝导体材质的规定；增设术语为单独一章，删除附录中的名词解释；补充了功能性开关电器和剩余电流动作保护电器选择和安装的规定；补充了选用具有中性极的开关电器的规定；补充了IT系统中安装绝缘监测电器的规定；补充了等电位联结用的保护联结导体截面积选择的规定；将原第三章“配电设备的布置”中的第二节“配电设备布置中的安全措施'‘和第四章""配电线路的保护”中的第四节“接地故障保护”合并，并增加“SELV系统和PELV系统及FELV系统”一节，为第5章“电气装置的电击防护”；在“配电线路的保护”一章中增加了“配电线路电气火灾防护”一节；增加了关于“可弯曲金属导管布线”、“地面内暗装金属槽盒布线”、“矿物绝缘电缆敷设”、“预分支电缆敷设”的规定；对原规范部分条文进行了补充、完善和调整。本规范中以黑体字标志的条文为强制性条文，必须严格执行。本规范由住房和城乡建设部负责管理和对强制性条文的解释，中国机械工业联合会负责日常管理工作，中机中电设计研究院有限公司负责具体技术内容的解释。本规范在执行过程中，请各单位注意总结经验，积累资料，随时将有关意见和建议寄送至中机中电设计研究院有限公司（地址：北京首都体育馆南路9号中国电工大厦；邮政编码:100048;E-mail:yaodalin@cneec.com.cn）,以供今后修订时参考。本规范组织单位、主编单位、参编单位、主要起草人和主要审査人：组织单位：中国机械工业勘察设计协会主编单位：中机中电设计研究院有限公司参编单位：中国有色工程有限公司（原中国有色工程设计研究总院）中国航空规划建设发展有限公司（原中国航空工业规划设计研究院）北京市建筑设计研究院施耐德电气（中国）投资有限公司保定市满城长瑞管业有限公司湖州久盛电气有限公司国际铜业协会（中国）无锡TCL罗格朗低压电器有限公司营口鑫源金属套管有限公司主要起草人：贺湘琨王厚余王建明主要审查人：王素英姚大林季慧玉王增尧邵晓钢丁杰刘叶语任红徐辉张萍王长瑞王大刚潘立新凌全新李道本王金元毛文中黄宝生余小军钟景华姚杰邓重秋罗怀平总	则	（1）术	语	（2）3电器和导体的选择	（6）1电器的选择	（6）导体的选择	（8）4	配电设备的布置	（15）1一般规定	（15）4.2配电设备布置中的安全措施	（15）对建筑物的要求	（16）5电气装置的电击防护	（18）1直接接触防护措施	（18）5.2间接接触防护的自动切断电源防护措施	（21）3SELV系统和PELV系统及FELV系统	（26）6配电线路的保护	（30）1一般规定		（30）2	短路保护	（30）过负荷保护	（32）4配电线路电气火灾防护	（33）7配电线路的敷设	（34）1	一般规定	（34）7.2	绝缘导线布线	（35）3	钢索布线	（40）裸导体布线	（42）封闭式母线布线	（42）6电缆布线	(43)7.7电气竖井布线	(50)附录A系数为值	(53)本规范用词说明	(57)引用标准名录	(58)附:条文说明	(59)ContentsGeneralprovisions	(	1	)Terms	(	2	)Selectionofelectricaldevicesand	conductors	(	6	)1Selectionofelectricaldevices	(	6	)2Selectionofconductor	(	8	)Layoutofswitchgearassembly	(	15	)1Generalrequirement	(	15	)2Safetyprecautionsinlayoutofswitchgear	assembly	(	15	)3Requirementsforbuildings	(	16	)Protectionagainstelectricshockinelectricalinstallation	(	18)1Measureforprotectionagainstdirectcontact	(	18)2Measureforprotectionagainstindirectcontactbyautomaticdisconnectionofsupply	(	21)3SELVsystem、PELVsystemandFELVsystem,,,,	(	26)Protectionforpowercircuits	(	30)1	Generalrequirement	(	30	)2	Protectionagainstshortcircuit	(	30	)/3	Protectionagainstoverload		(	32	)4	Protectionagainstelectrical	fireofpowercircuits	(	33	)Erectionofwiringsystems	(	34)1	Generalrequirement	(	34	)2	Wiringofinsulatedconductors	(	35	)3	Wiringofsuspendedconductors	(	40	)4	Wiring	ofbareconductors	(	42	)7.5	Wiring	ofenclosedbusbar	(	42	)7.6	Wiring	ofcables	(	43	)7.7	Wiring	inelectricshaft	(	50	)AppendixAValueoffactork	(	53)Explanationofwordinginthiscode	(	57)Listofquotedstandards	(	58)Addition：Explanationofprovisions	(	59)1总则除配电室外，无遮护的裸导体至地面的距离，不应小于3.5m；采用防护等级不低于现行国家标准《外壳防护等级（IP代码）?GB4208规定的IP2X的网孔遮栏时，不应小于2.5m。网状遮栏与裸导体的间距，不应小于100mm;板状遮栏与裸导体的间距，不应小于50mmo"
4,1.0.1,为使低压配电设计中，做到保障人身和财产安全、节约能源、技术先进、功能完善、经济合理、配电可靠和安装运行方便，制定本规范。本条强调“保障人身和财产安全”和“节约能源”，这是根据国家的基本政策“以人为本”和“建设资源节约型社会”修改的。
5,1.0.2,本规范适用于新建、改建和扩建工程中交流、工频1000V及以下的低压配电设计。本条将原规范适用的电压范围由“交流、工频500V及以下”修改为“交流、工频1000V及以下”，与现行国家标准《建筑物电气装置》的系列标准GB16895（等同釆用IEC60364标准）保持一致。而且在我国，有的单位早已将本规范的规定运用在1000V及以下的电气系统中，没有发现任何问题。
6,1.0.3,"低压配电设计除应符合本规范外，尚应符合国家现行有关标准的规定。2术语对于本规范中没有规定的低压配电设计的内容，当其他现行国家标准有规定时，同样应该执行。特别是现行国家标准《建筑物电气装置》GB16895的系列标准是等同釆用国际标准IEC60364的标准，该系列标准在国际上已得到重视和应用。该系列标准对特殊场所的低压配电设计的特殊要求，在下列现行国家标准中有详细的规定，同样应该遵照执行，这些标准是：1《建筑物电气装置第7部分：特殊装置或场所的要求第701节：装有浴盆或淋浴盆场所》GB16895.13；2《建筑物电气装置第7部分:特殊装置或场所的要求第702节：游泳池和其他水池》GB16895.19；3《建筑物电气装置第7-703部分：特殊装置或场所的要求装有桑拿浴加热器场所》GB16895.14；4《建筑物电气装置第7-704部分：特殊装置或场所的要求施工和拆除场所的电气装置））GB16895.7；5《建筑物电气装置第7部分:特殊装置或场所的要求第705.节:农业和园艺设施的电气装置》GB16895.27；6《建筑物电气装置第7-706部分：特殊装置或场所的,65?要求活动受限制的可导电场所》GB16895.8；7《建筑物电气装置第7部分：特殊装置或场所的要求第707节：数据处理设备用电气装置的接地要求》GB16895.9；8《建筑物电气装置第7-710部分:特殊装置或场所的要求医疗场所》GB16895.24；9《建筑物电气装置第7-711部分：特殊装置或场所的要求展览馆、陈列室和展位》GB16895.25；10《建筑物电气装置第7-712部分:特殊装置或场所的要求太阳能光伏（PV）电源供电系统》GB/T16895.32；11《建筑物电气装置第7-713部分：特殊装置或场所的要求家具》GB16895.29；12《建筑物电气装置第7-714部分：特殊装置或场所的要求户外照明装置》GB16895.28；13《建筑物电气装置第7-715部分:特殊装置或场所的要求特低电压照明装置》GB16895.30；14《建筑物电气装置第7-717部分:特殊装置或场所的要求移动的或可搬运的单元》GB16895.31；15《建筑物电气装置第7-74。部分：特殊装置或场所的要求游乐场和马戏场中的构筑物、娱乐设施和棚屋》GB16895.26。2术语"
7,2.0.1,预期接触电压prospectivetouchvoltage人或动物尚未接触到可导电部分时，可能同时触及的可导电部分之间的电压。
8,2.0.2,约定接触电压限值conventionalprospectivetouchvoltagelimit在规定的外界影响条件下，允许无限定时间持续存在的预期接触电压的最大值。
9,2.0.3,"直接接触	directcontact人或动物与带电部分的电接触。"
