,flag,node
0,文件信息,"UDCP中华人民共和国行业标准JGJ38-2015备案号J2081-2015图书馆建筑设计规范Codefordesignoflibrarybuildings2015-08-28发布2016-05-01实施中华人民共和国住房和城乡建设部发布中华人民共和国行业标准图书馆建筑设计规范CodefordesignoflibrarybuildingsJGJ38-2015批准部门：中华人民共和国住房和城乡建设部施行日期：2016年5月1日中国建筑工业出版社中华人民共和国住房和城乡建设部公告第907号住房城乡建设部关于发布行业标准《图书馆建筑设计规范》的公告现批准《图书馆建筑设计规范》为行业标准，编号为JGJ38-2015,自2016年5月1日起实施。其中，第6.1.2、6.1.3、6.2.1、6.2.2条为强制性条文，必须严格执行。原《图书馆建筑设计规范》JGJ38-99同时废止。本规范由我部标准定额研究所组织中国建筑工业出版社出版发行。中华人民共和国住房和城乡建设部2015年8月28日前言根据住房和城乡建设部《关于印发〈2009年工程建设标准规范制订、修订计划〉的通知》(建标[2009]88号)的要求，规范编制组经广泛调查研究，认真总结实践经验，参考有关国际标准和国外先进标准，并在广泛征求意见的基础上，修订本规范。本规范的主要技术内容是：总则；术语；基地和总平面；建筑设计；文献资料防护；防火设计；室内环境；建筑设备。本规范修订的主要技术内容是：1.修改适用范围，删除了不适用的规定；2.增加并修改部分术语；3.增加无障碍设计的有关内容；4.补充图书馆部分新的功能空间；5.补充、修改防火的相关内容；6.增加室内环境的有关内容及规定；7.增加智能化和节能的有关内容及规定；8.对部分技术经济指标进行修订。本规范中以黑体字标志的条文为强制性条文，必须严格执行。本规范由住房和城乡建设部负责管理和对强制性条文的解释，由中国建筑西北设计研究院有限公司负责具体技术内容的解释。执行过程中如有意见或建议，请寄送中国建筑西北设计研究院有限公司(地址：陕西省西安市文景路中段98号，邮编：710018)。本规范主编单位：中国建筑西北设计研究院有限公司本规范参编单位：清华大学建筑学院东南大学建筑学院国家图书馆上海图书馆陕西省图书馆本规范主要起草人员：李建广许懋彦孙一钢季伟张涓笑本规范主要审查人员：鲍家声倪欣王宗存赵元超马晓东刘绍周张昕龚恺鲍莉程慕伊徐大平王研赵民杨德才王国光崔彤殷波田策邓军张欧张文才目次1总则	12术语	23基地和总平面	43.1基地	43.2总平面	44建筑设计	54.1一般规定	54.2书库	54.3阅览室(区)	74.4检索和出纳空间	84.5公共活动和辅助服务空间	104.6行政办公、业务及技术设备用房	115文献资料防护	145.1一般规定	145.2温湿度要求	145.3防水和防潮	145.4防尘和防污染	145.5防日光直射和紫外线照射	155.6防磁和防静电	155.7防虫和防鼠	155.8安全防范	156防火设计	176.1耐火等级	176.2防火分区及建筑构造	176.3消防设施	186.4安全疏散	187室内环境	197.1一般规定	197.2室内光环境	197.3室内声环境	208建筑设备	218.1给水排水	218.2采暖、通风与空气调节	218.3电气	248.4建筑智能化	26附录A书库容书量设计估算指标	28附录B阅览室每座占使用面积设计计算指标	29本规范用词说明	30引用标准名录	31附：条文说明	33Contents1GeneralProvisions	12Terms	23SiteSelectionandGeneralLayout	43.1SiteSelection	43.2GeneralLayout	44ArchitecturalDesign	54.1GeneralRequirements	54.2StackRoom	54.3ReadingRoomorViewingAreas	74.4CatalogueRetrievalandCashierAreas	84.5PublicActivitiesandAncillaryServicesAreas	104.6AdminstrativeOfficesandWorkAreasClosedtoPublic	115LiteraturalCollectionPreservation	145.1GeneralRequirements	145.2RequirementsofTemperatureandHumidity	145.3ProtectionAgainstMoistureandWater	145.4ProtectionAgainstPollutionandDust	145.5ProtectionAgainstSunlightandUltravioletRays	155.6ProtectionAgainstStaticElectricityandMagnetic	155.7PestControl	155.8SaftyPrecautions	156FirePrevention	176.1FireresistantLevel	176.2FireControlDistrictandBuildingConstruction	176.3FireControlFacilities	186.4SaftyEvacuation	187IndoorEnvironment	197.1GeneralRequirements	197.2IndoorLightEnvironment	197.3IndoorAcousticEnvironment	208BuildingService	218.1WaterSupplyandDrainage	218.2HeatingVentilationandAirConditioning	218.3BuildingElectrical	248.4BuildingIntelligent	26AppendixAEstimatedIndicatorsofCapacityPesignforStackRoom	28AppendixBIndicatorsforeachSeatOccupiedtheUseoftheReadingRoom	29ExplanationofWordinginThisCode	30ListofQuotedStandards	31Addition:ExplanationofProvisions	331总则"
1,1.0.1,"为保证图书馆建筑的设计质量，使其符合适用、安全、卫生、节能等基本要求，制定本规范。本规范是在《图书馆建筑设计规范》JGJ38-99(以下简称原规范)的基础上修订的，为保证图书馆建筑符合使用、安全、卫生、技术、经济等方面的基本要求，阐明本规范的修订目的，作本条规定。原规范自1999年10月1日实施以来，对指导我国图书馆建筑设计工作，提高设计质量起到了积极作用。但是随着国民经济的迅速发展，图书馆的建设事业也发生了很大变化，主要表现在图书馆管理模式和服务手段等方面，如电子计算机得到广泛应用。电子计算机目录检索逐步取代卡片目录检索，从而成为主要的检索方式。藏阅合一的开架阅览方式受到广大读者的欢迎，空间的开放性要求进一步提高。电子图书与纸质图书同步快速发展，信息载体更加多样化。现代图书馆与传统图书馆相比，由过去“以藏为主”转变为“以用为主”,最大限度的服务于读者，使图书发挥更大的作用。图书馆的功能也在不断拓展，除了其收藏、研究、阅览的基本功能外，学术交流活动、新书展示以及咨询服务等成为图书馆的组成部分。为了适应新时期图书馆建设事业的发展需要，有必要对原规范进行一次全面修订，更好地指导今后的图书馆建筑设计，使图书馆的建筑设计质量不断提高。"
2,1.0.2,本规范适用于新建、扩建和改建的图书馆建筑设计。本条明确本规范的适用范围。图书馆包括公共图书馆、高等学校图书馆、科学研究图书馆及各类专门图书馆等。公共图书馆规定到县级，高等学校图书馆包括大学、学院、专科学校、成人教育学院等配套完整的图书馆。由于图书馆功能的扩展，信息载体的日新月异和人们获取手段的多样化，势必会出现全新概念的图书馆，而本规范针对的对象仍以纸质图书为主要知识信息载体。
3,1.0.3,图书馆建筑应满足文献资料信息的采集、加工、利用和安全防护等要求，并应为读者、工作人员创造良好的环境和工作条件。、1.0.4这两条对图书馆建筑设计的指导思想作出原则性规定。即强调图书馆建筑设计，首先要满足图书馆的功能要求，即文献资料信息的采集、加工、利用和安全防护的功能要求；为读者、工作人员创造良好的环境和工作条件。同时还应结合图书馆的性质和特点及发展趋势，为运用先进的管理模式、现代化的服务手段提供灵活性强、适应性高的空间，并力求造型美观，与环境协调，突出以“读者为主，服务第一”的设计原则。3基地和总平面3.1基地
4,1.0.4,图书馆建筑设计应结合图书馆的性质、特点及发展趋势，并应适应现代化服务、管理的要求，美观大方，与环境协调。
5,1.0.5,图书馆建筑设计除应符合本规范外，尚应符合国家现行有关标准的规定。2术语
6,2.0.1,图书馆library以收集、整理、保管、研究和利用书刊资料、多媒体资料等为主要功能，以借阅方式为主并可提供信息咨询、培训、学术交流等服务的文化建筑。
7,2.0.2,普通阅览室generalreadingroom以书刊为主要信息载体、供普通读者使用的阅览室。
8,2.0.3,特种阅览室specialreadingroom为读者提供音像视听、缩微阅览、电子阅览等特种阅览方式的阅览室。
9,2.0.4,开架阅览室openstackreadingroom阅览和藏书在同一空间中，读者可以自行取阅图书资料的阅览室。
10,2.0.5,文献资料documentliterature记录知识和信息的一切载体，包括书刊资料和非书刊资料。非书刊资料包括音像资料、数字资源等。
11,2.0.6,基本书库basicstackrooms图书馆的主要藏书区，又称基藏书库。
12,2.0.7,特藏书库specialstacks收藏珍善本图书及重要的电子文献资料、音像资料等，对保存条件有特殊要求的库房。
13,2.0.8,珍善本书库rarebookstacks收藏经鉴定列为国家或地方级珍贵文献、对安全防范和保存条件有特殊要求的库房，是特藏书库的一种。
14,2.0.9,开架书库openstacks允许读者入库查找资料并就近阅览的书库。
15,2.0.10,密集书架compactbookshelf若干书架安装在固定轨道上，紧密排列，没有行距，利用电动或手动装置，使任何两行紧密相邻的书架沿轨道分离的专门书架。
16,2.0.11,密集书库compactstacks采用密集书架存放书刊资料、多媒体资料的书库。
17,2.0.12,积层书架stack-systemshelf重叠组合而成，并附有梯子上下的多层固定钢书架。
18,2.0.13,书架层stacklayer书库内的两个结构层之间采用多层书架时，划分每层书架的层面，又称甲板层或软层。
19,2.0.14,档数quantityofstandardbookshelves沿书架长度方向连续布置的标准书架个数。
20,2.0.15,行道aisle两排书架之间的距离，又称书架通道。
21,2.0.16,书刊提升设备booksandperiodicalsascensionequipment为减轻工作人员劳动强度，提高传递速度，设于书库或藏书区的上、下楼层之间，用于传递图书的设备。
22,2.0.17,典藏室book-keepingdepartment图书馆内部登记文献资料移动情况、统计全馆收藏量的专业部门。
23,2.0.18,在线公共目录查询系统onlinepublicaccesscatalogue图书馆提供给广大读者通过网络系统对本图书馆内书刊资料、多媒体资料等相关信息及读者的外借信息进行查询的公用系统。
24,2.0.19,信息处理用房informationprocessingroom用于信息的显示、拍摄、扫描、数据转换、数据传递、数据存储、识别等加工和处理的用房。
25,2.0.20,系统网络机房equipmentroomofcomputersystem&.network由安放计算机、通信设备、控制设备及配套设备的主机房、基本工作间、辅助用房等组成的机房。3基地和总平面3.1基地
26,3.1.1,图书馆基地的选择应满足当地总体规划的要求。对于图书馆基地的选择，公共图书馆需符合当地的城市总体规划要求，大专院校的图书馆，则需服从于校园的总体规划。因为，已批准的城市总体规划或校园总体规划具有一定的法律效力，其规划内容已对交通、环境、市政等重大因素作了周密的分析和考虑，服从总体规划的要求，以保证图书馆建筑与其所处的环境协调统一。
27,3.1.2,图书馆的基地应选择位置适中、交通方便、环境安静、工程地质及水文地质条件较有利的地段。图书馆基地的选择对于图书馆建馆是否成功起着至关重要的作用。因此，选择基地时，需综合各种因素、周密考虑、正确决策，选择地理位置适中、交通便利、环境相对安静、工程地质及水文地质等自然条件和市政设施条件较为有利的地段。
28,3.1.3,图书馆基地与易燃易爆、噪声和散发有害气体、强电磁波干扰等污染源之间的距离，应符合国家现行有关安全、消防、卫生、环境保护等标准的规定。环境污染已成为当今十分突出的问题。国家对此非常重视，已颁布了多项法规。图书馆作为公共文化建筑，人流量较大，人员相对集中，馆藏珍贵，是对环境质量要求较高的公共活动场所，不允许发生火灾、爆炸或受到粉尘、大气污染、强电磁波干扰等。因此，基地的选择需远离各种污染源及易燃易爆场所，按照有关法规，满足防护距离的要求。
